entry_id,project_id,date,cost_code,category,vendor,amount,description
C-1265,P-105,2026-02-26,01-100,General Conditions,Kingfisher Glazing,10556.06,General Conditions — progress 36
C-1266,P-105,2026-02-19,01-100,General Conditions,Apex Earthworks,50218.4,General Conditions — progress 37
C-1267,P-105,2026-02-24,15-400,Plumbing,Pacific Concrete Supply,48164.53,Plumbing — progress 38
C-1268,P-105,2026-01-16,07-500,Roofing,Apex Earthworks,34143.31,Roofing — progress 39
C-1269,P-105,2026-02-13,03-300,Concrete,Kingfisher Glazing,29842.82,Concrete — progress 40
C-1270,P-105,2025-12-28,09-200,Drywall,Pacific Concrete Supply,62224.92,Drywall — progress 41
C-1271,P-105,2026-01-25,09-200,Drywall,Summit Drywall Partners,7244.86,Drywall — progress 42
C-1272,P-105,2026-04-04,22-000,Site Utilities,ProMech HVAC,62839.9,Site Utilities — progress 43
C-1273,P-105,2026-02-25,07-500,Roofing,Brightway Electric,17033.4,Roofing — progress 44
C-1274,P-105,2026-04-09,22-000,Site Utilities,Ironclad Steel Co.,9732.31,Site Utilities — progress 45
C-1275,P-105,2026-04-01,22-000,Site Utilities,BlueOak Plumbing,28572.45,Site Utilities — progress 46
C-1276,P-105,2025-12-30,07-500,Roofing,Riverstone Roofing,48832.48,Roofing — progress 47
C-1277,P-105,2026-04-16,05-100,Structural Steel,Apex Earthworks,8822,Structural Steel — progress 48
C-1278,P-105,2026-01-20,09-200,Drywall,Summit Drywall Partners,18054.82,Drywall — progress 49
C-1279,P-105,2026-01-22,03-300,Concrete,Ironclad Steel Co.,61826.01,Concrete — progress 50
C-1280,P-105,2026-03-11,02-300,Earthwork,Ironclad Steel Co.,35604.68,Earthwork — progress 51
C-1281,P-105,2026-01-14,22-000,Site Utilities,ProMech HVAC,49731.48,Site Utilities — progress 52
C-1282,P-105,2026-03-14,05-100,Structural Steel,Ironclad Steel Co.,18443.92,Structural Steel — progress 53
C-1283,P-105,2026-03-09,03-300,Concrete,Brightway Electric,12938.68,Concrete — progress 54
C-1284,P-105,2025-12-26,05-100,Structural Steel,Brightway Electric,21754.52,Structural Steel — progress 55
C-1285,P-105,2026-01-04,09-200,Drywall,Kingfisher Glazing,45608.85,Drywall — progress 56
C-1286,P-105,2026-02-20,03-300,Concrete,Ironclad Steel Co.,52014.56,Concrete — progress 57
C-1287,P-106,2026-04-11,22-000,Site Utilities,Apex Earthworks,45544.84,Site Utilities — progress 1
C-1288,P-106,2026-04-01,06-100,Rough Carpentry,ProMech HVAC,8783.13,Rough Carpentry — progress 2
C-1289,P-106,2026-03-16,15-400,Plumbing,Pacific Concrete Supply,30445.29,Plumbing — progress 3
C-1290,P-106,2026-02-06,15-400,Plumbing,Ironclad Steel Co.,46812.91,Plumbing — progress 4
C-1291,P-106,2026-03-14,07-500,Roofing,Kingfisher Glazing,45297.11,Roofing — progress 5
C-1292,P-106,2026-02-08,16-100,Electrical,Cornerstone Millwork,39292.58,Electrical — progress 6
C-1293,P-106,2026-03-30,01-100,General Conditions,Cornerstone Millwork,47716.51,General Conditions — progress 7
C-1294,P-106,2026-01-08,09-200,Drywall,Kingfisher Glazing,1446.29,Drywall — progress 8
C-1295,P-106,2026-03-28,01-100,General Conditions,Pacific Concrete Supply,61408.02,General Conditions — progress 9
C-1296,P-106,2026-02-01,06-100,Rough Carpentry,Cornerstone Millwork,22543.29,Rough Carpentry — progress 10
C-1297,P-106,2026-01-04,01-100,General Conditions,Brightway Electric,57527.85,General Conditions — progress 11
C-1298,P-106,2026-01-21,22-000,Site Utilities,Pacific Concrete Supply,33463.98,Site Utilities — progress 12
C-1299,P-106,2026-01-11,22-000,Site Utilities,Kingfisher Glazing,47457.7,Site Utilities — progress 13
C-1300,P-106,2026-01-05,09-200,Drywall,Ironclad Steel Co.,36685.31,Drywall — progress 14
C-1301,P-106,2026-01-11,22-000,Site Utilities,BlueOak Plumbing,3058.48,Site Utilities — progress 15
C-1302,P-106,2026-02-19,15-400,Plumbing,ProMech HVAC,10081.15,Plumbing — progress 16
C-1303,P-106,2026-02-04,03-300,Concrete,Riverstone Roofing,7587.53,Concrete — progress 17
C-1304,P-106,2026-04-04,06-100,Rough Carpentry,BlueOak Plumbing,52856.6,Rough Carpentry — progress 18
C-1305,P-106,2026-04-18,03-300,Concrete,Apex Earthworks,60354.9,Concrete — progress 19
C-1306,P-106,2026-03-24,05-100,Structural Steel,Summit Drywall Partners,17376.44,Structural Steel — progress 20
C-1307,P-106,2025-12-24,15-400,Plumbing,BlueOak Plumbing,45082.79,Plumbing — progress 21
C-1308,P-106,2026-02-24,01-100,General Conditions,Pacific Concrete Supply,41751.4,General Conditions — progress 22
C-1309,P-106,2026-04-16,22-000,Site Utilities,Ironclad Steel Co.,52661.35,Site Utilities — progress 23
C-1310,P-106,2026-02-14,15-400,Plumbing,Ironclad Steel Co.,32439.25,Plumbing — progress 24
C-1311,P-106,2026-01-12,07-500,Roofing,Cornerstone Millwork,10039.74,Roofing — progress 25
C-1312,P-106,2026-01-30,16-100,Electrical,Ironclad Steel Co.,41481.58,Electrical — progress 26
C-1313,P-106,2026-03-19,02-300,Earthwork,Apex Earthworks,16667.91,Earthwork — progress 27
C-1314,P-106,2026-02-01,03-300,Concrete,Kingfisher Glazing,58395.73,Concrete — progress 28
C-1315,P-106,2026-01-20,05-100,Structural Steel,Ironclad Steel Co.,57011.73,Structural Steel — progress 29
C-1316,P-106,2026-03-29,15-400,Plumbing,Summit Drywall Partners,58682.5,Plumbing — progress 30
C-1317,P-106,2026-03-14,15-400,Plumbing,Summit Drywall Partners,5424.02,Plumbing — progress 31
C-1318,P-106,2026-04-10,03-300,Concrete,Pacific Concrete Supply,13414.78,Concrete — progress 32
C-1319,P-106,2026-04-01,16-100,Electrical,Ironclad Steel Co.,29475.6,Electrical — progress 33
C-1320,P-106,2026-02-08,15-400,Plumbing,BlueOak Plumbing,47218.76,Plumbing — progress 34
C-1321,P-106,2026-01-15,03-300,Concrete,Riverstone Roofing,51680.29,Concrete — progress 35
C-1322,P-106,2026-03-09,15-400,Plumbing,Riverstone Roofing,21243.55,Plumbing — progress 36
C-1323,P-106,2026-03-03,16-100,Electrical,BlueOak Plumbing,31633.05,Electrical — progress 37
C-1324,P-106,2026-01-16,09-200,Drywall,Pacific Concrete Supply,60657.85,Drywall — progress 38
C-1325,P-106,2026-01-06,22-000,Site Utilities,Cornerstone Millwork,3381.59,Site Utilities — progress 39
C-1326,P-106,2026-02-28,09-200,Drywall,Summit Drywall Partners,30053.97,Drywall — progress 40
C-1327,P-106,2026-03-12,02-300,Earthwork,Kingfisher Glazing,18612.98,Earthwork — progress 41
C-1328,P-106,2026-02-16,03-300,Concrete,BlueOak Plumbing,46820.64,Concrete — progress 42
C-1329,P-106,2026-02-06,22-000,Site Utilities,ProMech HVAC,27625.63,Site Utilities — progress 43
C-1330,P-106,2026-03-14,16-100,Electrical,Kingfisher Glazing,52184.89,Electrical — progress 44
C-1331,P-106,2026-03-22,01-100,General Conditions,Summit Drywall Partners,38058.77,General Conditions — progress 45
C-1332,P-106,2026-02-01,02-300,Earthwork,Riverstone Roofing,43030.79,Earthwork — progress 46
C-1333,P-106,2026-03-06,05-100,Structural Steel,ProMech HVAC,56287.41,Structural Steel — progress 47
C-1334,P-107,2026-04-16,16-100,Electrical,Riverstone Roofing,44018.85,Electrical — progress 1
C-1335,P-107,2026-04-08,06-100,Rough Carpentry,Cornerstone Millwork,22106.52,Rough Carpentry — progress 2
C-1336,P-107,2026-03-21,02-300,Earthwork,Apex Earthworks,3896.56,Earthwork — progress 3
C-1337,P-107,2026-02-03,01-100,General Conditions,Ironclad Steel Co.,62781.44,General Conditions — progress 4
C-1338,P-107,2026-04-01,05-100,Structural Steel,Brightway Electric,63251.12,Structural Steel — progress 5
C-1339,P-107,2026-04-16,01-100,General Conditions,Kingfisher Glazing,64822.92,General Conditions — progress 6
C-1340,P-107,2025-12-29,06-100,Rough Carpentry,BlueOak Plumbing,56895.19,Rough Carpentry — progress 7
C-1341,P-107,2026-03-30,16-100,Electrical,Summit Drywall Partners,5467.73,Electrical — progress 8
C-1342,P-107,2026-03-16,09-200,Drywall,Pacific Concrete Supply,17846.7,Drywall — progress 9
C-1343,P-107,2026-01-23,02-300,Earthwork,Summit Drywall Partners,44144.58,Earthwork — progress 10
C-1344,P-107,2026-02-05,09-200,Drywall,Brightway Electric,36478.73,Drywall — progress 11
C-1345,P-107,2026-04-07,06-100,Rough Carpentry,Pacific Concrete Supply,12195.14,Rough Carpentry — progress 12
C-1346,P-107,2026-01-04,06-100,Rough Carpentry,Riverstone Roofing,43879.97,Rough Carpentry — progress 13
C-1347,P-107,2026-01-10,02-300,Earthwork,Cornerstone Millwork,8591.45,Earthwork — progress 14
C-1348,P-107,2026-01-10,03-300,Concrete,Riverstone Roofing,32328.36,Concrete — progress 15
C-1349,P-107,2026-01-31,09-200,Drywall,ProMech HVAC,18942.15,Drywall — progress 16
C-1350,P-107,2026-02-27,03-300,Concrete,Riverstone Roofing,4611.72,Concrete — progress 17
C-1351,P-107,2026-04-07,22-000,Site Utilities,Summit Drywall Partners,21976.71,Site Utilities — progress 18
C-1352,P-107,2026-04-16,15-400,Plumbing,Brightway Electric,10301.24,Plumbing — progress 19
C-1353,P-107,2026-01-25,15-400,Plumbing,ProMech HVAC,63680.11,Plumbing — progress 20
C-1354,P-107,2026-02-21,03-300,Concrete,Pacific Concrete Supply,53724.8,Concrete — progress 21
C-1355,P-107,2026-04-06,05-100,Structural Steel,Apex Earthworks,20016.85,Structural Steel — progress 22
C-1356,P-107,2026-03-26,05-100,Structural Steel,Cornerstone Millwork,22386.93,Structural Steel — progress 23
C-1357,P-107,2026-03-08,03-300,Concrete,Apex Earthworks,12541.04,Concrete — progress 24
C-1358,P-107,2026-03-16,22-000,Site Utilities,Kingfisher Glazing,12503.13,Site Utilities — progress 25
C-1359,P-107,2026-01-30,15-400,Plumbing,Ironclad Steel Co.,28763.23,Plumbing — progress 26
C-1360,P-107,2026-02-03,15-400,Plumbing,Cornerstone Millwork,45647.53,Plumbing — progress 27
C-1361,P-107,2026-01-03,05-100,Structural Steel,Brightway Electric,63832.35,Structural Steel — progress 28
C-1362,P-107,2026-03-25,01-100,General Conditions,Pacific Concrete Supply,63989.57,General Conditions — progress 29
C-1363,P-107,2026-01-29,07-500,Roofing,BlueOak Plumbing,14265.45,Roofing — progress 30
C-1364,P-107,2026-03-30,02-300,Earthwork,Summit Drywall Partners,57428.33,Earthwork — progress 31
C-1365,P-107,2026-03-01,03-300,Concrete,Ironclad Steel Co.,11093.07,Concrete — progress 32
C-1366,P-107,2026-02-09,09-200,Drywall,ProMech HVAC,2588.44,Drywall — progress 33
C-1367,P-107,2026-04-06,22-000,Site Utilities,Pacific Concrete Supply,9707.2,Site Utilities — progress 34
C-1368,P-107,2026-03-20,16-100,Electrical,Cornerstone Millwork,2991.77,Electrical — progress 35
C-1369,P-107,2025-12-28,09-200,Drywall,Brightway Electric,14935.48,Drywall — progress 36
C-1370,P-107,2026-02-14,01-100,General Conditions,Apex Earthworks,16784.21,General Conditions — progress 37
C-1371,P-107,2025-12-27,01-100,General Conditions,Ironclad Steel Co.,41141.09,General Conditions — progress 38
C-1372,P-107,2026-02-03,03-300,Concrete,Apex Earthworks,36333.76,Concrete — progress 39
C-1373,P-107,2026-02-25,07-500,Roofing,Apex Earthworks,63045.28,Roofing — progress 40
C-1374,P-107,2026-02-14,03-300,Concrete,ProMech HVAC,57628.79,Concrete — progress 41
C-1375,P-107,2026-01-30,09-200,Drywall,Riverstone Roofing,21347.42,Drywall — progress 42
C-1376,P-107,2025-12-24,22-000,Site Utilities,Apex Earthworks,32086.91,Site Utilities — progress 43
C-1377,P-107,2026-04-21,01-100,General Conditions,Kingfisher Glazing,2581.11,General Conditions — progress 44
C-1378,P-107,2026-02-17,02-300,Earthwork,Apex Earthworks,25619.04,Earthwork — progress 45
C-1379,P-107,2026-04-20,07-500,Roofing,Riverstone Roofing,19886.86,Roofing — progress 46
C-1380,P-107,2026-04-19,15-400,Plumbing,Pacific Concrete Supply,31342.41,Plumbing — progress 47
C-1381,P-107,2026-01-14,09-200,Drywall,ProMech HVAC,45815.54,Drywall — progress 48
C-1382,P-107,2026-01-12,01-100,General Conditions,Cornerstone Millwork,48709.83,General Conditions — progress 49
C-1383,P-107,2026-03-17,03-300,Concrete,ProMech HVAC,50067.37,Concrete — progress 50
C-1384,P-107,2026-01-05,22-000,Site Utilities,Summit Drywall Partners,39375.56,Site Utilities — progress 51
C-1385,P-107,2026-02-05,15-400,Plumbing,ProMech HVAC,11960.79,Plumbing — progress 52
C-1386,P-107,2026-04-12,15-400,Plumbing,Brightway Electric,62888.09,Plumbing — progress 53
C-1387,P-107,2026-01-20,03-300,Concrete,ProMech HVAC,60938.15,Concrete — progress 54
C-1388,P-107,2026-03-23,22-000,Site Utilities,Ironclad Steel Co.,25494.42,Site Utilities — progress 55
C-1389,P-107,2026-03-13,03-300,Concrete,Kingfisher Glazing,40067.06,Concrete — progress 56
C-1390,P-107,2026-02-14,09-200,Drywall,Summit Drywall Partners,22813.91,Drywall — progress 57
C-1391,P-107,2026-01-06,15-400,Plumbing,ProMech HVAC,41755.67,Plumbing — progress 58
C-1392,P-107,2026-04-13,07-500,Roofing,Cornerstone Millwork,46991.85,Roofing — progress 59
C-1393,P-107,2026-01-10,09-200,Drywall,Kingfisher Glazing,59356.98,Drywall — progress 60
C-1394,P-107,2026-04-14,05-100,Structural Steel,BlueOak Plumbing,43077.19,Structural Steel — progress 61
C-1395,P-107,2026-02-25,02-300,Earthwork,Riverstone Roofing,29933.38,Earthwork — progress 62
C-1396,P-107,2026-03-30,22-000,Site Utilities,BlueOak Plumbing,3928.07,Site Utilities — progress 63
C-1397,P-108,2026-01-03,07-500,Roofing,Ironclad Steel Co.,19314.17,Roofing — progress 1
C-1398,P-108,2026-02-16,05-100,Structural Steel,BlueOak Plumbing,3806.18,Structural Steel — progress 2
C-1399,P-108,2026-03-08,07-500,Roofing,BlueOak Plumbing,10543.81,Roofing — progress 3
C-1400,P-108,2026-04-07,03-300,Concrete,Brightway Electric,3062.5,Concrete — progress 4
C-1401,P-108,2026-04-03,16-100,Electrical,ProMech HVAC,3480.08,Electrical — progress 5
C-1402,P-108,2026-01-07,01-100,General Conditions,Riverstone Roofing,2659.1,General Conditions — progress 6
C-1403,P-108,2026-01-01,05-100,Structural Steel,Brightway Electric,57117.96,Structural Steel — progress 7
C-1404,P-108,2026-04-16,07-500,Roofing,Ironclad Steel Co.,10055.32,Roofing — progress 8
C-1405,P-108,2026-03-19,09-200,Drywall,Cornerstone Millwork,35614.14,Drywall — progress 9
C-1406,P-108,2026-03-14,09-200,Drywall,Ironclad Steel Co.,3952.36,Drywall — progress 10
C-1407,P-108,2026-01-29,16-100,Electrical,Summit Drywall Partners,39920.61,Electrical — progress 11
C-1408,P-108,2026-04-01,02-300,Earthwork,Pacific Concrete Supply,37736.26,Earthwork — progress 12
C-1409,P-108,2026-03-09,03-300,Concrete,BlueOak Plumbing,25581.46,Concrete — progress 13
C-1410,P-108,2026-03-28,06-100,Rough Carpentry,Kingfisher Glazing,10471.04,Rough Carpentry — progress 14
C-1411,P-108,2026-02-26,16-100,Electrical,Riverstone Roofing,51124.17,Electrical — progress 15
C-1412,P-108,2026-02-05,03-300,Concrete,Pacific Concrete Supply,38344.04,Concrete — progress 16
C-1413,P-108,2026-01-12,06-100,Rough Carpentry,Cornerstone Millwork,40340.03,Rough Carpentry — progress 17
C-1414,P-108,2026-01-29,01-100,General Conditions,Summit Drywall Partners,61075.54,General Conditions — progress 18
C-1415,P-108,2026-01-13,07-500,Roofing,Pacific Concrete Supply,37151.11,Roofing — progress 19
C-1416,P-108,2026-01-02,06-100,Rough Carpentry,Apex Earthworks,63077.2,Rough Carpentry — progress 20
C-1417,P-108,2025-12-26,01-100,General Conditions,Kingfisher Glazing,32444.03,General Conditions — progress 21
C-1418,P-108,2026-01-16,05-100,Structural Steel,BlueOak Plumbing,53949.81,Structural Steel — progress 22
C-1419,P-108,2026-03-09,16-100,Electrical,BlueOak Plumbing,61002.33,Electrical — progress 23
C-1420,P-108,2026-01-28,15-400,Plumbing,BlueOak Plumbing,14229.35,Plumbing — progress 24
C-1421,P-108,2026-01-02,01-100,General Conditions,BlueOak Plumbing,20647.8,General Conditions — progress 25
C-1422,P-108,2026-03-06,15-400,Plumbing,ProMech HVAC,50857.76,Plumbing — progress 26
C-1423,P-108,2025-12-24,06-100,Rough Carpentry,BlueOak Plumbing,8094.68,Rough Carpentry — progress 27
C-1424,P-108,2026-01-02,09-200,Drywall,Ironclad Steel Co.,23591.99,Drywall — progress 28
C-1425,P-108,2026-01-30,15-400,Plumbing,Kingfisher Glazing,56746.91,Plumbing — progress 29
C-1426,P-108,2026-01-31,03-300,Concrete,Riverstone Roofing,37072.45,Concrete — progress 30
C-1427,P-108,2026-04-09,02-300,Earthwork,Brightway Electric,24667.51,Earthwork — progress 31
C-1428,P-108,2026-01-27,01-100,General Conditions,Summit Drywall Partners,5946.09,General Conditions — progress 32
C-1429,P-108,2026-03-05,01-100,General Conditions,BlueOak Plumbing,52669.37,General Conditions — progress 33
C-1430,P-108,2026-01-28,06-100,Rough Carpentry,Pacific Concrete Supply,17223.64,Rough Carpentry — progress 34
C-1431,P-108,2026-01-11,09-200,Drywall,Riverstone Roofing,9514.1,Drywall — progress 35
C-1432,P-108,2026-04-18,06-100,Rough Carpentry,Pacific Concrete Supply,6517.64,Rough Carpentry — progress 36
C-1433,P-108,2026-04-14,07-500,Roofing,Cornerstone Millwork,51672.17,Roofing — progress 37
C-1434,P-108,2026-01-05,09-200,Drywall,Brightway Electric,6168.36,Drywall — progress 38
C-1435,P-108,2026-01-10,16-100,Electrical,Summit Drywall Partners,39172.11,Electrical — progress 39
C-1436,P-108,2026-01-26,09-200,Drywall,BlueOak Plumbing,54734.22,Drywall — progress 40
C-1437,P-108,2026-03-15,22-000,Site Utilities,BlueOak Plumbing,44729.6,Site Utilities — progress 41
C-1438,P-108,2025-12-23,01-100,General Conditions,Cornerstone Millwork,2985.23,General Conditions — progress 42
C-1439,P-108,2026-04-15,15-400,Plumbing,BlueOak Plumbing,10840.4,Plumbing — progress 43
C-1440,P-108,2026-03-02,05-100,Structural Steel,Riverstone Roofing,44344.57,Structural Steel — progress 44
C-1441,P-108,2025-12-29,03-300,Concrete,Apex Earthworks,26736.35,Concrete — progress 45
C-1442,P-108,2026-02-20,16-100,Electrical,Apex Earthworks,44075.04,Electrical — progress 46
C-1443,P-108,2026-01-10,15-400,Plumbing,Pacific Concrete Supply,59196.13,Plumbing — progress 47
C-1444,P-108,2026-03-12,15-400,Plumbing,Ironclad Steel Co.,12150.18,Plumbing — progress 48
C-1445,P-108,2025-12-25,09-200,Drywall,Ironclad Steel Co.,46990.28,Drywall — progress 49
C-1446,P-108,2026-01-08,09-200,Drywall,Ironclad Steel Co.,14541.83,Drywall — progress 50
C-1447,P-108,2026-01-08,15-400,Plumbing,ProMech HVAC,28198.38,Plumbing — progress 51
C-1448,P-108,2026-03-02,09-200,Drywall,Pacific Concrete Supply,12561.06,Drywall — progress 52
C-1449,P-108,2026-04-06,05-100,Structural Steel,ProMech HVAC,19818.59,Structural Steel — progress 53
C-1450,P-108,2026-01-20,03-300,Concrete,ProMech HVAC,25216.11,Concrete — progress 54
C-1451,P-108,2025-12-24,01-100,General Conditions,Riverstone Roofing,53585.33,General Conditions — progress 55
C-1452,P-108,2026-03-22,05-100,Structural Steel,Kingfisher Glazing,38641.11,Structural Steel — progress 56
C-1453,P-108,2026-02-10,02-300,Earthwork,Kingfisher Glazing,4830.11,Earthwork — progress 57
C-1454,P-108,2026-01-26,16-100,Electrical,Kingfisher Glazing,14660.32,Electrical — progress 58
C-1455,P-108,2026-03-04,02-300,Earthwork,Apex Earthworks,19494.32,Earthwork — progress 59
C-1456,P-108,2026-02-17,01-100,General Conditions,Kingfisher Glazing,21141.07,General Conditions — progress 60
C-1457,P-108,2026-03-26,09-200,Drywall,Riverstone Roofing,62193.56,Drywall — progress 61
C-1458,P-108,2026-02-20,09-200,Drywall,Kingfisher Glazing,55042.44,Drywall — progress 62
